Variable Name,Description
Year,Indicates the calendar year of Medicare enrollment
Month,Indicates the month of Medicare enrollment
Bene_Geo_Lvl,"Indicates geography level that the data in the row has been
aggregated (e.g. National, State, and County)"
Bene_State_Abrvtn,State abbreviation of beneficiary residence
Bene_State_Desc,Area of beneficiary residence
Bene_County_Desc,County of beneficiary residence
Bene_FIPS_Cd,State/County FIPS code of beneficiary residence
Tot_Benes,Count of all Medicare beneficiaries
Orgnl_Mdcr_Benes,Count of all Original Medicare beneficiaries
MA_and_Oth_Benes,"Count of all Medicare Advantage and Other Health Plan
Beneficiaries"
Aged_Tot_Benes,Count of Medicare aged beneficiaries
Aged_ESRD_Benes,"Count of Medicare aged beneficiaries with End Stage Renal
Disease"
Aged_No_ESRD_Benes,"Count of Medicare aged beneficiaries without End Stage Renal
Disease"
Dsbld_Tot_Benes,Count of Medicare disabled beneficiaries
Dsbld_ESRD_and_ESRD_Only_Benes,Count of Medicare disabled beneficiaries with End Stage Renal Disease and beneficiaries with End Stage Renal Disease only
Dsbld_No_ESRD_Benes,"Count of Medicare disabled beneficiaries without End Stage
Renal Disease"
Male_Tot_Benes,Count of male Medicare beneficiaries
Female_Tot_Benes,Count of female Medicare beneficiaries
White_Tot_Benes,Count of Non-Hispanic white Medicare beneficiaries
Black_Tot_Benes,Count of non-Hispanic black or African American beneficiaries.
API_Tot_Benes,Count of Asian or Pacific Islander Medicare beneficiaries
Hspnc_Tot_Benes,Count of Hispanic Medicare beneficiaries
NatInd_Tot_Benes,"Count of American Indian or Alaska Native Medicare
beneficiaries"
Othr_Tot_Benes,"Count of Medicare beneficiaries with race not elsewhere
classified"
Age_LT_25_Benes,Count of Medicare beneficiaries under the age of 25
Age_25_to_44_Benes,"Count of Medicare beneficiaries between the ages of 25 and
44"
Age_45_to_64_Benes,"Count of Medicare beneficiaries between the ages of 45 and
64"
Age_65_to_69_Benes,"Count of Medicare beneficiaries, between the ages of 65 and
69"
Age_70_to_74_Benes,"Count of Medicare beneficiaries between the ages of 70 and
74"
Age_75_to_79_Benes,"Count of Medicare beneficiaries between the ages of 75 and
79"
Age_80_to_84_Benes,"Count of Medicare beneficiaries between the ages of 80 and
84"
Age_85_to_89_Benes,"Count of Medicare beneficiaries between the ages of 85 and
89"
Age_90_to_94_Benes,"Count of Medicare beneficiaries between the ages of 90 and
94"
Age_GT_94_Benes,Count of Medicare beneficiaries over the age of 94
Dual_Tot_Benes,"Count of all beneficiaries qualified to receive Medicare and
Medicaid benefits"
Full_Dual_Tot_Benes,"Count of beneficiaries qualified to receive Medicare and full
Medicaid benefits"
Part_Dual_Tot_Benes,"Count of all beneficiaries qualified to receive Medicare and
partial Medicaid benefits"
NoDual_Tot_Benes,"Count of beneficiaries qualified to receive Medicare only
benefits"
A_B_Tot_Benes,Count of Medicare beneficiaries enrolled in Hospital Insurance (or Part A) and Supplementary Medical Insurance (or Part B)
A_B_Orgnl_Mdcr_Benes,"Count of Original Medicare beneficiaries enrolled in Hospital Insurance (or Part A) and Supplementary Medical Insurance (or
Part B)"
A_B_MA_and_Oth_Benes,"Count of Medicare Advantage and Other Health Plan Beneficiaries enrolled in Hospital Insurance (or Part A) and
Supplementary Medical Insurance (or Part B)"
A_Tot_Benes,"Count of Medicare beneficiaries enrolled in Hospital Insurance
(or Part A)"
A_Orgnl_Mdcr_Benes,"Count of Original Medicare beneficiaries enrolled in Hospital
Insurance (or Part A)"
A_MA_and_Oth_Benes,"Count of Medicare Advantage and Other Health Plan
Beneficiaries enrolled in Hospital Insurance (or Part A)"
B_Tot_Benes,"Count of Medicare beneficiaries enrolled in Supplementary
Medical Insurance (or Part B)"
B_Orgnl_Mdcr_Benes,"Count of Original Medicare beneficiaries enrolled in
Supplementary Medical Insurance (or Part B)"
B_MA_and_Oth_Benes,"Count of Medicare Advantage and Other Health Plan Beneficiaries enrolled in Supplementary Medical Insurance (or
Part B)"
Prscrptn_Drug_Tot_Benes,"Count of all Medicare Prescription Drug (or Part D)
beneficiaries"
Prscrptn_Drug_PDP_Benes,"Count of Medicare Prescription Drug (or Part D) beneficiaries
enrolled in a Prescription Drug Plan"
Prscrptn_Drug_MAPD_Benes,Count of Medicare Prescription Drug (or Part D) beneficiaries enrolled in a Medicare Advantage Prescription Drug plan
Prscrptn_Drug_Deemed_Eligible_LIS_ Benes,"Count of certain groups of Medicare beneficiaries who are automatically deemed eligible for the low-income subsidy and do not have to apply.  The following groups are deemed eligible:  Full-benefit dual eligibles, that is, persons eligible for both Medicare and full Medicaid benefits; Supplemental Security Income (SSI) recipients, including SSI recipients who do not qualify for Medicaid, and individuals deemed to be SSI recipients; and Medicare beneficiaries who are participants in the Medicare Savings Programs (MSP)."
Prscrptn_Drug_Full_LIS_Benes,"Count of Medicare beneficiaries with limited income and resources who do not fall into one of the deemed subsidy groups and are enrolled for full subsidy.  These beneficiaries
successfully applied for low-income subsidy."
Prscrptn_Drug_Partial_LIS_Benes,"Count of Medicare beneficiaries with limited income and resources who do not fall into one of the deemed subsidy groups and are enrolled for partial subsidy.  These
beneficiaries successfully applied for low-income subsidy."
Prscrptn_Drug_No LIS_Benes,"Count of Medicare Part D beneficiaries with no low income
subsidy."
