2022-07-09 19:01:17,976 | INFO | fipy.solvers | <module> | Solver suite is pysparse
2022-07-09 19:01:17,976 | DEBUG | fipy.solvers | <module> | DefaultSolver is <class 'fipy.solvers.pysparse.linearPCGSolver.LinearPCGSolver'>
2022-07-09 19:01:17,977 | DEBUG | fipy.solvers | <module> | DefaultAsymmetricSolver is <class 'fipy.solvers.pysparse.linearLUSolver.LinearLUSolver'>
2022-07-09 19:01:17,977 | DEBUG | fipy.solvers | <module> | DummySolver is <class 'fipy.solvers.pysparse.linearPCGSolver.LinearPCGSolver'>
2022-07-09 19:01:17,977 | DEBUG | fipy.solvers | <module> | GeneralSolver is <class 'fipy.solvers.pysparse.linearLUSolver.LinearLUSolver'>
2022-07-09 19:01:17,977 | DEBUG | fipy.solvers | <module> | serialComm is DummyComm()
2022-07-09 19:01:17,977 | DEBUG | fipy.solvers | <module> | parallelComm is DummyComm()
2022-07-09 19:01:18,767 | INFO | fipy | <module> | {"petsc4py": "not installed", "pysparse": "1.3-dev", "solver": "pysparse", "python": "2.7.15 | packaged by conda-forge | (default, Mar  5 2020, 14:58:04) | [GCC Clang 9.0.1 ]", "mayavi": "", "matplotlib": "2.2.5", "scipy": "1.2.1", "pyamgx": "not installed", "PyTrilinos": "Trilinos version: 12.18.1\nPyTrilinos version: 12.13", "numpy": "1.16.5", "gmsh": "4.6.0", "fipy": "3.4.3+67.g30145f256.dirty", "mpi4py": "3.0.3"}
2022-07-09 19:01:18,805 | DEBUG | fipy.solvers.pysparse.linearPCGSolver.LinearPCGSolver | <module> | {"state": "START", "sweeps": 1, "numberOfElements": 9}
2022-07-09 19:01:18,822 | DEBUG | fipy.solvers.pysparse.linearPCGSolver.LinearPCGSolver | _setConvergence | {"status_name": "Pysparse_CONVERGED_RTOL", "status_code": 0, "solver": "LinearPCGSolver(tolerance=1e-10, iterations=1000)", "actual_code": 0, "residual": 7.656510325192271e-16, "criterion": "initial", "iterations": 3, "max_iterations": 1000}
2022-07-09 19:01:18,823 | DEBUG | fipy.solvers.pysparse.linearPCGSolver.LinearPCGSolver | <module> | {"state": "END", "sweeps": 1, "numberOfElements": 9}
