sample_I,Well,Depth,delta_2H-Benzene,delta_2H-Toluene,delta_2H-Ethylbenzene,"delta_2H-m,p-Xylene",delta_2H-o-Xylene+Styrene,delta_2H-Indane,delta_2H-Naphthalene,delta_13C-Benzene,delta_13C-Toluene,delta_13C-Ethylbenzene,"delta_13C-m,p-Xylene",delta_13C-o-Xylene,delta_13C-Indane,delta_13C-Naphthalene,delta_13C-Indene
,,m,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr,mUr
c-15,C,15.5,-99,170,-165,-131,-108,-153,-52,-26.7,-18.8,-25.2,-26.2,-25.6,-23.8,-27,-21.1
c-19,C,19,-67,,-167,-122,-101,-155,-49,-25.8,-16.9,-24.2,-24.7,-24.6,-24.8,-26.6,
c-26,C,26,-93,139,-155,-134,-96,-147,-55,-26,-21.6,-24.3,-25.7,-24.6,-25.2,-26.7,-24
c-38,C,38.75,-72,-46,-155,-127,-100,-109,-47,-26,-25.3,-24.4,-25.5,-24.7,-25.2,-26.8,-25.9
c-45,C,45.75,-91,13,-163,-138,-113,-159,-56,-25.5,-24.9,-24.3,-25.4,-25.2,-25.1,-26.8,-26.3
b-12,B,12,-106,,80,62,70,-142,-43,-26.1,-22.8,-21.5,-17.5,-14,-24.7,-26.3,-23.2
b-15,B,15.5,-110,,-154,-99,-43,-145,-54,-25.8,-17.8,-23.2,-24.5,-21.1,-24.7,-26.8,
b-17,B,17,-118,78,-169,-115,-64,-159,-39,-24.1,-22.1,-23.4,-25.1,-22.1,-24.9,-26.7,
b-19,B,19,-117,,-170,-49,9,-140,-42,-24.1,-20.2,-24.2,-22,-18,-24,-26.7,
b-20,B,20.5,-90,,-173,-65,-22,-136,-34,-25.3,-18.7,-23.7,-23.1,-19.4,-24.6,-26.7,-23
b-28,B,28,,,-162,-58,-97,,-28,-20.9,-23.8,-24.2,-21,-23.8,-26.9,-26.3,-23.7
b2-7,B2,7,-77,,-179,-165,-138,-132,-55,-26.5,-21,-24.1,-26.2,-25.7,-27.6,-27,-25.7
B2-10,B2,10.5,-75,,-161,-136,,-150,-60,-26.2,-20.6,-22.8,-23.7,-18.1,-26.9,-26.8,-25.4
B2-14,B2,14,-51,38,-164,,-126,-106,-27,-25.2,-23.8,-24.1,-26,-25.1,-25.6,-27.2,-25.8
B2-15,B2,15.5,-61,,2,-121,-11,-81,-60,-25.7,-18.1,-22.5,-25,-21.1,-23,-26.9,-24.4
