Variable,Description
SEQNUMC,UNIQUE CHILD IDENTIFIER
SEQNUMHH,UNIQUE HOUSEHOLD IDENTIFIER
PDAT,CHILD HAS ADEQUATE PROVIDER DATA
PROVWT_C,FINAL SINGLE-FRAME CELLPHONE PROVIDER-PHASE WEIGHT (EXCLUDES TERRITORIES
PROVWT_C_TERR,FINAL SINGLE-FRAME CELLPHONE PROVIDER-PHASE WEIGHT INCLUDING TERRITORIES
RDDWT_C,FINAL SINGLE-FRAME CELLPHONE RDD-PHASE WEIGHT (EXCLUDES TERRITORIES)
RDDWT_C_TERR,FINAL SINGLE-FRAME CELLPHONE RDD-PHASE WEIGHT INCLUDES TERRITORIES
STRATUM,STRATUM VARIABLE FOR DUAL-FRAME VARIANCE ESTIMATION
YEAR,YEAR OF INTERVIEW
AGECPOXR,AGE IN MONTHS AT CHICKEN POX DISEASE (RECODE)
HAD_CPOX,CHILD EVER HAD CHICKEN POX DISEASE?
AGEGRP,"AGE CATEGORY OF CHILD (19-23, 24-29, 30-35 MO) (RECODE)"
BF_ENDR06,DURATION OF BREAST FEEDING IN DAYS (RECODE)
BF_EXCLR06,DURATION OF EXCLUSIVE BREAST/FORMULA FEEDING IN DAYS (RECODE)
BF_FORMR20,AGE IN DAYS WHEN CHILD FIRST FED FORMULA (RECODE)
BFENDFL06,"DURATION OF BREAST FEEDING EXCEEDS CHILD AGE IN DAYS, WITH BUFFER"
BFFORMFL06,"AGE IN DAYS WHEN CHILD FIRST FED FORMULA EXCEEDS CHILD AGE IN DAYS, WITH BUFFER"
C1R,NUMBER OF PEOPLE IN HOUSEHOLD (RECODE)
C5R,RELATIONSHIP OF RESPONDENT TO CHILD (RECODE)
CBF_01,WAS CHILD EVER BREAST FED OR FED BREAST MILK?
CEN_REG,CENSUS REGION BASED ON TRUE STATE OF RESIDENCE
CHILDNM,NUMBER OF CHILDREN LESS THAN 18 YEARS IN HH (RECODE)
CWIC_01,CHILD EVER RECEIVED WIC BENEFITS?
CWIC_02,CHILD CURRENTLY RECEIVING WIC BENEFITS?
EDUC1,EDUCATION OF MOTHER CATEGORIES (RECODE)
FRSTBRN,FIRST BORN STATUS OF CHILD
I_HISP_K,HISPANIC ORIGIN OF CHILD
INCPORAR,INCOME TO POVERTY RATIO (RECODE)
INCPORAR_I,INCOME TO POVERTY RATIO: IMPUTED (RECODE)
INCPOV1,POVERTY STATUS
INCQ298A,FAMILY INCOME CATEGORIES (RECODE)
LANGUAGE,LANGUAGE IN WHICH INTERVIEW WAS CONDUCTED
M_AGEGRP2,AGE OF MOTHER CATEGORIES (RECODE)
MARITAL2,MARITAL STATUS OF MOTHER (RECODE)
MOBIL_I,GEOGRAPHIC MOBILITY STATUS: STATE OF RESIDENCE OF CHILD AT BIRTH VERSUS CURRENT STATE
NUM_PHONE,NUMBER OF RESIDENTIAL TELEPHONE NUMBERS IN HOUSEHOLD (EXCLUDING CELL PHONES)
NUM_CELLS_HH,NUMBER OF WORKING CELL PHONES HOUSEHOLD MEMBERS HAVE AVAILABLE FOR PERSONAL USE
NUM_CELLS_PARENTS,NUMBER OF WORKING CELL PHONES USUALLY USED BY PARENTS OR GUARDIANS
RACE_K,RACE OF CHILD (RECODE)
RACEETHK,RACE/ETHNICITY OF CHILD (RECODE)
RENT_OWN,"IS HOME OWNED/BEING BOUGHT, RENTED, OR OCCUPIED BY SOME OTHER ARRANGEMENT?"
SEX,GENDER OF CHILD
ESTIAP21,ESTIMATION AREA OF RESIDENCE
EST_GRANT,AREA OF RESIDENCE ACCORDING TO THE 56 ORIGINAL CORE GRANTEE AREAS
STATE,TRUE STATE OF RESIDENCE (STATE FIPS CODE)
D6R,NUMBER OF VACCINATION PROVIDERS IDENTIFIED BY RESPONDENT (RECODE)
D7,CONSENT TO OBTAIN CHILD'S IMMUNIZATION RECORDS FROM PROVIDERS
N_PRVR,NUMBER OF PROVIDERS RESPONDING WITH VACCINATION DATA FOR CHILD (RECODE)
PROV_FAC,PROVIDER FACILITY TYPES
REGISTRY,CHILD'S PROVIDERS REPORTED CHILD'S VACCINATIONS TO IMMUNIZATION REGISTRY
VFC_ORDER,DO CHILD'S PROVIDERS ORDER VACCINES FROM STATE/LOCAL HEALTH DEPT?
HEP_BRTH,HEPATITIS B-CONTAINING SHOT GIVEN AT BIRTH FLAG
HEP_FLAG,HEPATITIS B BIRTH SHOT DATE IMPUTATION FLAG
P_NUHEPX,"NUMBER OF HEPATITIS B-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUHIBX,"NUMBER OF HIB-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE"
P_NUHPHB,"NUMBER OF HEPATITIS B/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMDAH,"NUMBER OF DTAP/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMDHI,"NUMBER OF DTAP/HEPB/IPV COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE"
P_NUMDIH,"NUMBER OF DTAP/IPV/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE"
P_NUMDIHB,"NUMBER OF DTAP/IPV/HIB/HEPB SHOTS BY 19-35 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE MAX OF HOUSEHOLD INTERVIEW DATE AND ELIGIBILITY DATE"
P_NUMDTA,"NUMBER OF DTAP-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMDTP,"NUMBER OF DT-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMFLU,"NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE"
P_NUMFLUL,"NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE"
P_NUMFLUM,"NUMBER OF SEASONAL FLU SPRAY VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE"
P_NUMFLUN,"NUMBER OF INJECTED SEASONAL FLU VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMHEA,"NUMBER OF HEPATITIS A-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
P_NUMHEN,"NUMBER OF HEPATITIS B-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE."
