Variable,Description
ACCELI42,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R4/2
ACTDTY31,MILITARY FULL-TIME ACTIVE DUTY - R3/1
ACTDTY42,MILITARY FULL-TIME ACTIVE DUTY - R4/2
ACTDTY53,MILITARY FULL-TIME ACTIVE DUTY - R5/3
ACTLIM31,ANY LIMITATION WORK/HOUSEWRK/SCHL-RD 3/1
ACTLIM53,ANY LIMITATION WORK/HOUSEWRK/SCHL-RD 5/3
ADAPPT42,SAQ 12 MOS: # VISITS TO MED OFF FOR CARE
ADCAPE42,SAQ 4WKS: FELT CALM/PEACEFUL SF-12V2
ADCLIM42,SAQ: HLTH LIMITS CLIMBING STAIRS SF-12V2
ADCMPM42,SAQ: DATE COMPLETED - MONTH
ADCMPY42,SAQ: DATE COMPLETED - YEAR
ADDAYA42,SAQ: HLTH LIMITS MOD ACTIVITIES SF-12V2
ADDOWN42,SAQ 4WKS: FELT DOWNHEARTED/DEPR SF-12V2
ADDPRS42,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS
ADDRBP42,SAQ 2 YRS: DR CHECKED BLOOD PRESSURE
ADEFRT42,SAQ 30 DAYS: HOW OFTN EVRYTHNG AN EFFORT
ADEGMC42,SAQ 12MOS: EASY GETTING NEEDED MED CARE
ADESSP42,SAQ 12MOS: HOW ESY TO SEE SPECIALIST
ADEXPL42,SAQ 12 MOS: DOC EXPLAINED SO UNDERSTOOD
ADEZUN42,SAQ 12 MOS: DR GIVEN INSTR. EZ UNDRSTD
ADFFRM42,SAQ 12 MOS: HAD TO FILL OUT/SIGN FORMS
ADFHLP42,SAQ 12 MOS: OFFRD HELP FILLING OUT FORMS
ADGENH42,SAQ: HEALTH IN GENERAL SF-12V2
ADHDADDX,ADHDADD DIAGNOSIS (5-17)
ADHDAGED,AGE OF DIAGNOSIS-ADHD/ADD
ADHECR42,SAQ 12 MOS: RATING OF HEALTH CARE
ADHOPE42,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS
ADILCR42,SAQ 12MOS: ILL/INJURY NEEDING IMMED CARE
ADILWW42,SAQ 12 MOS: GOT CARE WHEN NEEDED ILL/INJ
ADINSA42,SAQ: DO NOT NEED HEALTH INSURANCE
ADINSB42,SAQ: HEALTH INSURANCE NOT WORTH COST
ADINST42,SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS
ADINTR42,SAQ 2 WKS: LITTLE INTEREST IN THINGS
ADLANG42,SAQ: LANGUAGE OF SAQ INTERVIEW
ADLHLP31,ADL SCREENER - RD 3/1
ADLHLP53,ADL SCREENER - RD 5/3
ADLIST42,SAQ 12 MOS: DOCTOR LISTENED TO YOU
ADMALS42,SAQ 4WKS:ACCMP LESS B/C MNT PRBS SF-12V2
ADMWLM42,SAQ 4WKS:WORK LIMT B/C MNT PROBS SF-12V2
ADNDCR42,"SAQ 12MOS: NEED ANY CARE, TEST, TREATMNT"
ADNERV42,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS
ADNRGY42,SAQ 4WKS: HAD A LOT OF ENERGY SF-12V2
ADNSMK42,SAQ 12MOS: DR ADVISED TO QUIT SMOKING
ADOVER42,SAQ: CAN OVERCOME ILLS WITHOUT MED HELP
ADPAIN42,SAQ 4WKS:PAIN LIMITS NORMAL WORK SF-12V2
ADPALS42,SAQ 4WKS:ACCMP LESS B/C PHY PRBS SF-12V2
ADPRTM42,SAQ 12 MOS: DR SPENT ENUF TIME WITH YOU
ADPRXY42,SAQ: RELATIONSHIP OF PROXY TO ADULT
