R,Triplet
1,-0.622264306
1.5,-0.809664637
2,-0.897076283
2.5,-0.945453719
3,-0.972015035
3.5,-0.986130885
4,-0.993380059
4.5,-0.99697288
5,-0.998687253
5.5,-0.999471748
6,-0.999813447
6.5,-0.999952833
7,-1.000003987
7.5,-1.000018912
8,-1.000020214
8.5,-1.000017232
9,-1.000013517
9.5,-1.000010246
10,-1.000007674
10.5,-1.000005744
11,-1.000004323
11.5,-1.000003281
12,-1.000002515
12.5,-1.000001948
13,-1.000001524
13.5,-1.000001204
14,-1.00000096
14.5,-1.000000772
15,-1.000000625
15.5,-1.00000051
16,-1.00000042
16.5,-1.000000347
17,-1.000000289
17.5,-1.000000242
18,-1.000000203
18.5,-1.000000172
19,-1.000000146
19.5,-1.000000125
20,-1.000000107
