R,Singlet
1,-1.124539713
1.5,-1.172855073
2,-1.13813295
2.5,-1.093938123
3,-1.057326262
3.5,-1.031858079
4,-1.016390249
4.5,-1.007993726
5,-1.003785656
5.5,-1.001774578
6,-1.000835707
6.5,-1.000400548
7,-1.000197914
7.5,-1.000102106
8,-1.000055605
8.5,-1.000032172
9,-1.000019782
9.5,-1.000012856
10,-1.000008755
10.5,-1.00000619
11,-1.000004506
11.5,-1.000003356
12,-1.000002546
12.5,-1.000001961
13,-1.000001529
13.5,-1.000001206
14,-1.000000961
14.5,-1.000000772
15,-1.000000625
15.5,-1.00000051
16,-1.00000042
16.5,-1.000000347
17,-1.000000289
17.5,-1.000000242
18,-1.000000203
18.5,-1.000000172
19,-1.000000146
19.5,-1.000000125
20,-1.000000107
