Variable,Description
JOBSIDX,Job-round identifier
JOBIDX,Person s unique job identifier
JOBNUM,Unique DU-job identifier
ESTBIDX,Establishment identifier
DUPERSID,Person ID (DUID+PID)
DUID,Panel # + encrypted DU identifier
PID,Person number
RN,Round
OrigRnd,Round job first reported
PANEL,Panel to which job holder belongs
JSTRTM,Job start date - month
JSTRTY,Job start date - year
JSTOPM,Job stop date - month
JSTOPY,Job stop date - year
RETIRJOB,Person retired from this job
SUBTYPE,Job sub-type
STILLAT,Still works at main job establishment
TYPECHGD,Job sub-type changed between rounds
MAIN_JOB,Still main job or business
DIFFWAGE,Any change in wage amount
StillWorkFTPT,Still works full or part time
WhyChngPTToFT,Why change part to full time
WhyChngFTToPT,Why change full to part time
STILLWRK,Still works at misc job establishment
OFFTAKEI,Offered insurance and now take
NOWTAKEI_M22,Now has health insurance through employer
ESTBTHRU,"Offered insurance, did not take (review)"
INSESTB,Insurance offered to any employees (review)
HIDISAVW,Capi q where health insur thru emp/union disavowed
RvwTotNumEmp,Establishment size at continuing self-employed job
WHY_LEFT_M18,Reason why no longer at job now
JOBTYPE,Self-employed or works for someone else
NUMEMPS,Establishment size at not self-employed job
ESTMATE1_M19,Categorical approximate establishment size
MORELOC,Employer has more than one location
BUSINC,Business incorporated
PROPRIET,Proprietorship or partnership
TYPEEMPL,Employee type
YLEFT_M18,Reason why no longer at job
YNOBUSN_M18,Reason why no longer has business
HRSPRWK,Number of hours worked per week
HRS35WK,Works at least 35 hours per week
TEMPJOB,Job at employer is temporary
SESNLJOB,Job is available certain time of year
SICKPAY,Has paid sick leave thru job
PAYDRVST,Has paid sick leave for doc visit thru job
PAYVACTN,Has paid vacation leave thru job
RETIRPLN,Has pension/retirement plan thru job
WKLYAMT,Usual weekly gross income at misc job
EMPLINS,Has health insurance thru current main job
JOBHASHI,Has health insurance thru job
OFFRDINS,Offered insurance but chose not to take
DIFFPLNS,Choice of different health insurance plans
ANYINS,Health insurance offered to any employees
INUNION,Belongs to labor union
PROVDINS,"Is health ins provided by employer, union or both"
EmplUnionProv,Employer or union is primary health insurer
HHMEMBER_M18,Any other hh member wrk at this business
TOTLEMP_M18,Current establishment size at self-employed job
TotNumEmp,Establishment size at new self-employed job
SALARIED,"Person salaried, paid by hour, some other way"
HOWPAID,How is person paid
DAYWAGE,Person s daily wage rate
HRSPRDY,Number of hours person worked in one day
MAKEAMT,How much money does person make
PERUNIT_M18,Period for which person is paid
HRLYWAGE,How much person makes per hour
MORE10,Person makes more or less than $10/hour
MORE15,Person makes more or less than $15/hour
MOREMINM,Person makes more or less than min. wage
GROSSPAY,Person s salary before taxes (gross)
GROSSPER,Period in which gross salary was earned
SALRYWKS,Number of weeks per year salary is based
HRSALBAS,Hours per week salary based on
EARNTIPS,Person earns tips
EARNBONS,Person earns bonuses
EARNCOMM,Person earns commission
TIPSAMT,How much are person s tips
TIPSUNIT_M18,Period which tip earnings are based on
BONSAMT,How much are person s bonuses
BONSUNIT,Period which bonuses are based on
COMMAMT,How much are person s commissions
COMMUNIT,Period which commissions are based on
INDCODEX,Condensed industry code
OCCCODEX,Condensed occupation code
